Tikr,KPI,Mar_2010,Mar_2011,Mar_2012,Mar_2013,Mar_2014,Mar_2015,Mar_2016,Mar_2017,Mar_2018,Mar_2019,Mar_2020,Mar_2021,Sep_2021,Dec_2009,Dec_2010,Dec_2011,Dec_2012,Dec_2013,Dec_2014,Dec_2015,Dec_2016,Dec_2017,Dec_2018,Dec_2019,Dec_2020,Jun_2021,Jun_2010,Jun_2011,Jun_2012,Jun_2013,Jun_2014,Jun_2015,Jun_2016,Jun_2017,Jun_2018,Jun_2019,Jun_2020,Sep_2009,Sep_2010,Sep_2011,Sep_2012,Sep_2006,Sep_2007,Sep_2008,Sep_2018,Mar_2009,Sep_2020,Jun_2009,Sep_2013,Sep_2014,Sep_2015,Sep_2016,Sep_2017,Sep_2019,Mar_2008,Nov_2009,Dec_2008,Oct_2010,Oct_2011,Oct_2012,Oct_2013,Mar_2007,Mar_2006,Jun_2007,Jun_2008,Mar_2004,Mar_2003
ALOKINDS,Fixed Assets +,6206.0,7427.0,8552.0,,,8321.0,16347.0,15662.0,15134.0,14635.0,14104.0,5765.0,5681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3826.0,,,9183.0,,,,,,,,,,,,,,,,,,
ALOKINDS,CWIP,939.0,907.0,914.0,,,56.0,14.0,0.0,0.0,0.0,0.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.0,,,555.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Investments,230.0,167.0,171.0,,,351.0,219.0,110.0,92.0,92.0,92.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,,,132.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Assets +,4802.0,5767.0,8600.0,,,20625.0,16113.0,16590.0,3353.0,3169.0,3606.0,1964.0,2053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.0,,,15632.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Total Assets,12177.0,14267.0,18237.0,,,29352.0,32692.0,32362.0,18579.0,17897.0,17802.0,7739.0,7741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,,,25503.0,,,,,,,,,,,,,,,,,,
KUANTUM,Share Capital +,10.0,10.0,9.0,9.0,39.0,39.0,39.0,9.0,39.0,39.0,39.0,39.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Reserves,34.0,52.0,55.0,68.0,100.0,532.0,552.0,612.0,683.0,758.0,823.0,809.0,814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Borrowings,196.0,190.0,202.0,203.0,147.0,194.0,213.0,302.0,291.0,365.0,543.0,659.0,716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Other Liabilities +,52.0,49.0,60.0,93.0,124.0,121.0,130.0,88.0,139.0,153.0,174.0,138.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Total Liabilities,290.0,299.0,325.0,373.0,379.0,856.0,903.0,1011.0,1121.0,1284.0,1549.0,1614.0,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Fixed Assets +,219.0,235.0,234.0,223.0,265.0,673.0,687.0,772.0,825.0,978.0,1034.0,1436.0,1414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,CWIP,19.0,4.0,12.0,37.0,0.0,26.0,50.0,42.0,84.0,55.0,310.0,21.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Other Assets +,53.0,61.0,79.0,112.0,114.0,157.0,166.0,198.0,213.0,251.0,206.0,158.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Total Assets,290.0,299.0,325.0,373.0,379.0,856.0,903.0,1011.0,1121.0,1284.0,1549.0,1614.0,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Share Capital +,10.0,10.0,9.0,9.0,39.0,39.0,39.0,9.0,39.0,39.0,39.0,39.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Reserves,34.0,52.0,55.0,68.0,100.0,532.0,552.0,612.0,683.0,758.0,823.0,809.0,814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Borrowings,196.0,190.0,202.0,203.0,147.0,194.0,213.0,302.0,291.0,365.0,543.0,659.0,716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Other Liabilities +,52.0,49.0,60.0,93.0,124.0,121.0,130.0,88.0,139.0,153.0,174.0,138.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Total Liabilities,290.0,299.0,325.0,373.0,379.0,856.0,903.0,1011.0,1121.0,1284.0,1549.0,1614.0,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Fixed Assets +,219.0,235.0,234.0,223.0,265.0,673.0,687.0,772.0,825.0,978.0,1034.0,1436.0,1414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,CWIP,19.0,4.0,12.0,37.0,0.0,26.0,50.0,42.0,84.0,55.0,310.0,21.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Other Assets +,53.0,61.0,79.0,112.0,114.0,157.0,166.0,198.0,213.0,251.0,206.0,158.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Total Assets,290.0,299.0,325.0,373.0,379.0,856.0,903.0,1011.0,1121.0,1284.0,1549.0,1614.0,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Share Capital +,788.0,788.0,826.0,,,1377.0,1358.0,1358.0,1369.0,1369.0,459.0,734.0,497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,,,1377.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Reserves,1928.0,2310.0,2828.0,,,4038.0,5072.0,1638.0,-16568.0,-14291.0,-10910.0,-16762.0,-16929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.0,,,3711.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Borrowings,8510.0,9819.0,12772.0,,,15347.0,20102.0,24140.0,26221.0,24095.0,27793.0,22610.0,22769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6596.0,,,16030.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Liabilities +,951.0,1351.0,1811.0,,,8590.0,6161.0,5226.0,7558.0,6724.0,698.0,1395.0,1404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.0,,,4384.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Total Liabilities,12177.0,14267.0,18237.0,,,29352.0,32692.0,32362.0,18579.0,17897.0,17802.0,7739.0,7741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,,,25503.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Fixed Assets +,6206.0,7427.0,8552.0,,,8321.0,16347.0,15662.0,15134.0,14635.0,14104.0,5765.0,5681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3826.0,,,9183.0,,,,,,,,,,,,,,,,,,
ALOKINDS,CWIP,939.0,907.0,914.0,,,56.0,14.0,0.0,0.0,0.0,0.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.0,,,555.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Investments,230.0,167.0,171.0,,,351.0,219.0,110.0,92.0,92.0,92.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,,,132.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Assets +,4802.0,5767.0,8600.0,,,20625.0,16113.0,16590.0,3353.0,3169.0,3606.0,1964.0,2053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.0,,,15632.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Total Assets,12177.0,14267.0,18237.0,,,29352.0,32692.0,32362.0,18579.0,17897.0,17802.0,7739.0,7741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,,,25503.0,,,,,,,,,,,,,,,,,,
KUANTUM,Share Capital +,10.0,10.0,9.0,9.0,39.0,39.0,39.0,9.0,39.0,39.0,39.0,39.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Reserves,34.0,52.0,55.0,68.0,100.0,532.0,552.0,612.0,683.0,758.0,823.0,809.0,814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Borrowings,196.0,190.0,202.0,203.0,147.0,194.0,213.0,302.0,291.0,365.0,543.0,659.0,716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Other Liabilities +,52.0,49.0,60.0,93.0,124.0,121.0,130.0,88.0,139.0,153.0,174.0,138.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Total Liabilities,290.0,299.0,325.0,373.0,379.0,856.0,903.0,1011.0,1121.0,1284.0,1549.0,1614.0,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Fixed Assets +,219.0,235.0,234.0,223.0,265.0,673.0,687.0,772.0,825.0,978.0,1034.0,1436.0,1414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,CWIP,19.0,4.0,12.0,37.0,0.0,26.0,50.0,42.0,84.0,55.0,310.0,21.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Other Assets +,53.0,61.0,79.0,112.0,114.0,157.0,166.0,198.0,213.0,251.0,206.0,158.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Total Assets,290.0,299.0,325.0,373.0,379.0,856.0,903.0,1011.0,1121.0,1284.0,1549.0,1614.0,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Share Capital +,788.0,788.0,826.0,,,1377.0,1358.0,1358.0,1369.0,1369.0,459.0,734.0,497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,,,1377.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Reserves,1928.0,2310.0,2828.0,,,4038.0,5072.0,1638.0,-16568.0,-14291.0,-10910.0,-16762.0,-16929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.0,,,3711.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Borrowings,8510.0,9819.0,12772.0,,,15347.0,20102.0,24140.0,26221.0,24095.0,27793.0,22610.0,22769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6596.0,,,16030.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Liabilities +,951.0,1351.0,1811.0,,,8590.0,6161.0,5226.0,7558.0,6724.0,698.0,1395.0,1404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.0,,,4384.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Total Liabilities,12177.0,14267.0,18237.0,,,29352.0,32692.0,32362.0,18579.0,17897.0,17802.0,7739.0,7741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,,,25503.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Fixed Assets +,6206.0,7427.0,8552.0,,,8321.0,16347.0,15662.0,15134.0,14635.0,14104.0,5765.0,5681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3826.0,,,9183.0,,,,,,,,,,,,,,,,,,
ALOKINDS,CWIP,939.0,907.0,914.0,,,56.0,14.0,0.0,0.0,0.0,0.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.0,,,555.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Investments,230.0,167.0,171.0,,,351.0,219.0,110.0,92.0,92.0,92.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,,,132.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Assets +,4802.0,5767.0,8600.0,,,20625.0,16113.0,16590.0,3353.0,3169.0,3606.0,1964.0,2053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.0,,,15632.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Total Assets,12177.0,14267.0,18237.0,,,29352.0,32692.0,32362.0,18579.0,17897.0,17802.0,7739.0,7741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,,,25503.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Share Capital +,788.0,788.0,826.0,,,1377.0,1358.0,1358.0,1369.0,1369.0,459.0,734.0,497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,,,1377.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Reserves,1928.0,2310.0,2828.0,,,4038.0,5072.0,1638.0,-16568.0,-14291.0,-10910.0,-16762.0,-16929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.0,,,3711.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Borrowings,8510.0,9819.0,12772.0,,,15347.0,20102.0,24140.0,26221.0,24095.0,27793.0,22610.0,22769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6596.0,,,16030.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Liabilities +,951.0,1351.0,1811.0,,,8590.0,6161.0,5226.0,7558.0,6724.0,698.0,1395.0,1404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.0,,,4384.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Total Liabilities,12177.0,14267.0,18237.0,,,29352.0,32692.0,32362.0,18579.0,17897.0,17802.0,7739.0,7741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,,,25503.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Fixed Assets +,6206.0,7427.0,8552.0,,,8321.0,16347.0,15662.0,15134.0,14635.0,14104.0,5765.0,5681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3826.0,,,9183.0,,,,,,,,,,,,,,,,,,
ALOKINDS,CWIP,939.0,907.0,914.0,,,56.0,14.0,0.0,0.0,0.0,0.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.0,,,555.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Investments,230.0,167.0,171.0,,,351.0,219.0,110.0,92.0,92.0,92.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,,,132.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Assets +,4802.0,5767.0,8600.0,,,20625.0,16113.0,16590.0,3353.0,3169.0,3606.0,1964.0,2053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.0,,,15632.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Total Assets,12177.0,14267.0,18237.0,,,29352.0,32692.0,32362.0,18579.0,17897.0,17802.0,7739.0,7741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,,,25503.0,,,,,,,,,,,,,,,,,,
KUANTUM,Share Capital +,10.0,10.0,9.0,9.0,39.0,39.0,39.0,9.0,39.0,39.0,39.0,39.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Reserves,34.0,52.0,55.0,68.0,100.0,532.0,552.0,612.0,683.0,758.0,823.0,809.0,814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Borrowings,196.0,190.0,202.0,203.0,147.0,194.0,213.0,302.0,291.0,365.0,543.0,659.0,716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Other Liabilities +,52.0,49.0,60.0,93.0,124.0,121.0,130.0,88.0,139.0,153.0,174.0,138.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Total Liabilities,290.0,299.0,325.0,373.0,379.0,856.0,903.0,1011.0,1121.0,1284.0,1549.0,1614.0,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Fixed Assets +,219.0,235.0,234.0,223.0,265.0,673.0,687.0,772.0,825.0,978.0,1034.0,1436.0,1414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,CWIP,19.0,4.0,12.0,37.0,0.0,26.0,50.0,42.0,84.0,55.0,310.0,21.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Other Assets +,53.0,61.0,79.0,112.0,114.0,157.0,166.0,198.0,213.0,251.0,206.0,158.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,Total Assets,290.0,299.0,325.0,373.0,379.0,856.0,903.0,1011.0,1121.0,1284.0,1549.0,1614.0,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Share Capital +,788.0,788.0,826.0,,,1377.0,1358.0,1358.0,1369.0,1369.0,459.0,734.0,497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,,,1377.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Reserves,1928.0,2310.0,2828.0,,,4038.0,5072.0,1638.0,-16568.0,-14291.0,-10910.0,-16762.0,-16929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.0,,,3711.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Borrowings,8510.0,9819.0,12772.0,,,15347.0,20102.0,24140.0,26221.0,24095.0,27793.0,22610.0,22769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6596.0,,,16030.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Liabilities +,951.0,1351.0,1811.0,,,8590.0,6161.0,5226.0,7558.0,6724.0,698.0,1395.0,1404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.0,,,4384.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Total Liabilities,12177.0,14267.0,18237.0,,,29352.0,32692.0,32362.0,18579.0,17897.0,17802.0,7739.0,7741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,,,25503.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Fixed Assets +,6206.0,7427.0,8552.0,,,8321.0,16347.0,15662.0,15134.0,14635.0,14104.0,5765.0,5681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3826.0,,,9183.0,,,,,,,,,,,,,,,,,,
ALOKINDS,CWIP,939.0,907.0,914.0,,,56.0,14.0,0.0,0.0,0.0,0.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.0,,,555.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Investments,230.0,167.0,171.0,,,351.0,219.0,110.0,92.0,92.0,92.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,,,132.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Assets +,4802.0,5767.0,8600.0,,,20625.0,16113.0,16590.0,3353.0,3169.0,3606.0,1964.0,2053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.0,,,15632.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Total Assets,12177.0,14267.0,18237.0,,,29352.0,32692.0,32362.0,18579.0,17897.0,17802.0,7739.0,7741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,,,25503.0,,,,,,,,,,,,,,,,,,
GEEKAYWIRE,Share Capital +,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEEKAYWIRE,Reserves,,4.0,0.0,0.0,0.0,0.0,1.0,6.0,15.0,23.0,30.0,35.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEEKAYWIRE,Borrowings,,7.0,9.0,16.0,19.0,20.0,26.0,53.0,71.0,70.0,55.0,83.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
